Date,Open,High,Low,Close,Volume,Adj Close
2011-02-03,43.81,44.08,43.10,43.78,1675300,43.78
2011-02-02,44.85,45.51,43.92,43.94,1562800,43.94
2011-02-01,43.30,45.01,43.30,44.84,2879400,44.84
2011-01-31,43.50,43.60,42.51,43.28,3230800,43.28
2011-01-28,44.97,45.94,44.00,44.00,2708300,44.00
2011-01-27,45.68,45.88,44.22,44.99,3695300,44.99
2011-01-26,47.63,47.75,45.72,46.01,2828500,46.01
2011-01-25,48.00,48.19,47.44,47.49,966700,47.49
2011-01-24,47.84,48.00,47.08,47.92,873300,47.92
2011-01-21,46.76,48.21,46.69,47.83,1359500,47.83
2011-01-20,47.26,47.97,46.67,46.67,1403000,46.67
2011-01-19,47.19,48.13,47.03,47.30,1332700,47.30
2011-01-18,46.64,47.10,46.40,47.03,1012100,47.03
2011-01-17,46.49,46.49,45.81,46.00,645300,46.00
2011-01-14,46.19,46.70,45.92,46.28,925600,46.28
2011-01-13,45.60,45.97,45.41,45.81,1111800,45.81
2011-01-12,45.85,46.45,45.25,45.75,1955500,45.75
2011-01-11,45.06,46.47,44.94,46.37,1060900,46.37
2011-01-10,45.44,45.50,44.44,45.04,1090900,45.04
2011-01-07,46.35,46.50,45.39,45.67,1328500,45.67
2011-01-06,47.58,47.69,46.33,46.60,1139000,46.60
2011-01-05,48.21,48.45,46.82,47.62,1212600,47.62
2011-01-04,48.08,48.67,47.85,48.42,830800,48.42
2011-01-03,47.47,48.13,47.35,48.03,387500,48.03
2010-12-31,47.26,47.36,46.71,46.92,140200,46.92
2010-12-30,47.80,47.97,47.10,47.26,312900,47.26
2010-12-29,47.10,48.06,47.10,47.72,428000,47.72
2010-12-28,47.10,47.41,46.95,46.95,304000,46.95
2010-12-27,46.92,47.40,46.00,46.95,343100,46.95
2010-12-24,47.34,47.83,46.94,46.94,105200,46.94
2010-12-23,48.24,48.34,47.31,47.50,576700,47.50
2010-12-22,48.41,48.60,48.05,48.22,496700,48.22
2010-12-21,47.75,48.49,47.71,48.42,846500,48.42
2010-12-20,46.97,47.88,46.90,47.53,843200,47.53
2010-12-17,47.20,47.31,46.72,46.90,939100,46.90
2010-12-16,47.00,47.33,46.63,47.02,804100,47.02
2010-12-15,46.99,47.20,46.58,46.96,780400,46.96
2010-12-14,46.70,47.05,46.52,47.05,666600,47.05
2010-12-13,46.60,47.17,46.54,46.74,943800,46.74
2010-12-10,46.71,46.76,45.63,46.51,1286600,46.51
2010-12-09,46.11,46.72,46.07,46.63,948100,46.63
2010-12-08,45.61,46.73,45.26,45.96,1346700,45.96
2010-12-07,44.47,46.48,44.44,45.97,1541400,45.97
2010-12-06,44.65,44.83,44.26,44.42,531000,44.42
